tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
Peripheral blood,UBERON_0005408,Normal,Normal cell,Macrophage,CL_0000235,"CD14, CD163, CD68, CSF1R, FCGR3A","CD14, CD163, CD68, CSF1R, FCGR3A","929, 9332, 968, 1436, 2214","CD14, C163A, CD68, CSF1R, FCG3A","P08571, Q86VB7, P34810, P07333, P08637",Single-cell sequencing,29230012,NA
Undefined,NA,Normal,Normal cell,Endothelial cell,CL_0000115,CD209,CD209,30835,CD209,Q9NNX6,Experiment,25170899,NA
Undefined,NA,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,PECAM1,5175,PECA1,P16284,Experiment,25001945,NA
Undefined,NA,Normal,Normal cell,Endothelial cell,CL_0000115,Endomucin,EMCN,51705,MUCEN,Q9ULC0,Experiment,11594763,NA
Undefined,NA,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,PECAM1,5175,PECA1,P16284,Experiment,2666561,NA
Undefined,NA,Normal,Normal cell,Endothelial cell,CL_0000115,"CD31, CD34, PECAM1","PECAM1, CD34, PECAM1","5175, 947, 5175","PECA1, CD34, PECA1","P16284, P28906, P16284",Single-cell sequencing,27534536,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Myeloid-derived suppressor cell,CL_0000889,"CD11b, CD33, CD39","ITGAM, CD33, ENTPD1","3684, 945, 953","ITAM, CD33, ENTP1","P11215, P20138, P49961",Experiment,29108995,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Myeloid-derived suppressor cell,CL_0000889,"CD11b, CD11c, CD14, CD1d, CD220, CD226, CD24, CD244, CD328, CD33, CD39, CD42b, CD46, CD49a, CD49d, CD49e, CD49f, CD52, CD53, CD54, CD56, CD62L, CD62P, CD66a, CD66c, CD66e, CD69, CD71, CD81, CD84, CD85d, CD85h, CD85j, CD85k","ITGAM, ITGAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGLEC7, CD33, ENTPD1, GP1BA, CD46, ITGA1, ITGA4, ITGA5, ITGA6, CD52, CD53, ICAM1, NCAM1, SELL, SELP, CEACAM1, CEACAM6, CEACAM5, CD69, TFRC, CD81, CD84, LILRB2, LILRA2, LILRB1, LILRB4ITGAM","3684, 3687, 929, 912, 3643, 10666, 100133941, 51744, 27036, 945, 953, 2811, 4179, 3672, 3676, 3678, 3655, 1043, 963, 3383, 4684, 6402, 6403, 634, 4680, 1048, 969, 7037, 975, 8832, 10288, 11027, 10859, 11006","ITAM, ITAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGL7, CD33, ENTP1, GP1BA, MCP, ITA1, ITA4, ITA5, ITA6, CD52, CD53, ICAM1, NCAM1, LYAM1, LYAM3, CEAM1, CEAM6, CEAM5, CD69, TFR1, CD81, SLAF5, LIRB2, LIRA2, LIRB1, LIRB4","P11215, P20702, P08571, P15813, P06213, Q15762, P25063, Q9BZW8, Q9Y286, P20138, P49961, P07359, P15529, P56199, P13612, P08648, P23229, P31358, P19397, P05362, P13591, P14151, P16109, P13688, P40199, P06731, Q07108, P02786, P60033, Q9UIB8, Q8N423, Q8N149, Q8NHL6, Q8NHJ6",Experiment,29108995,NA
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,SLAMF7,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,CD79A,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,BLNK,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,FCRL5,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT1,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT5,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT6,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT10,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT14,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,KRT72,,,,,,
basal cells_profRen,,,,Basal cell_profRen,,,TP63,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,FAP,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,PDPN,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL1A2,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,DCN,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL3A1,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL6A1,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD40,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD80,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD83,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CCR7,,,,,,
T cells_cell201808,,,,T cell_cell201808,,,CD2,,,,,,
T cells_cell201808,,,,T cell_cell201808,,,CD3D,,,,,,
T cells_cell201808,,,,T cell_cell201808,,,CD3E,,,,,,
T cells_cell201808,,,,T cell_cell201808,,,CD3G,,,,,,
Mast cells_cell201808,,,,Mast cell_cell201808,,,ENPP3,,,,,,
Mast cells_cell201808,,,,Mast cell_cell201808,,,KIT,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,CMA1,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,MS4A2,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,TPSAB1,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,TPSB2,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,PECAM1,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,VWF,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,ENG,,,,,,
Myocytes_cell201801,,,,Myocyte_cell201801,,,ACTA1,,,,,,
Myocytes_cell201801,,,,Myocyte_cell201801,,,ACTN2,,,,,,
Myocytes_cell201801,,,,Myocyte_cell201801,,,MYL2,,,,,,
Myocytes_cell201801,,,,Myocyte_cell201801,,,MYH2,,,,,,
MDSCfunction_profRen,,,,MDSCfunction_profRen,,,ARG1,,,,,,
MDSCfunction_profRen,,,,MDSCfunction_profRen,,,IL23A,,,,,,
MDSCfunction_profRen,,,,MDSCfunction_profRen,,,pSTAT3?,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,FAP,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,PDPN,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL1A2,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,DCN,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL3A1,,,,,,
Fibroblasts_cell201801,,,,Fibroblast_cell201801,,,COL6A1,,,,,,
Macrophages_cell201801,,,,Macrophage_cell201801,,,CD14,,,,,,
Macrophages_cell201801,,,,Macrophage_cell201801,,,CD163,,,,,,
Macrophages_cell201801,,,,Macrophage_cell201801,,,CD68,,,,,,
Macrophages_cell201801,,,,Macrophage_cell201801,,,FCGR2A,,,,,,
Macrophages_cell201801,,,,Macrophage_cell201801,,,CSF1R,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD40,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD80,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CD83,,,,,,
Dendritic cells_cell201801,,,,Dendritic cell_cell201801,,,CCR7,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,CMA1,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,MS4A2,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,TPSAB1,,,,,,
Mast cells_cell201801,,,,Mast cell_cell201801,,,TPSB2,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,PECAM1,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,VWF,,,,,,
Endothelial cells_cell201801,,,,Endothelial cell_cell201801,,,ENG,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,SLAMF7,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,CD79A,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,BLNK,,,,,,
B/Plasma cells_cell201801,,,,B/Plasma cell_cell201801,,,FCRL5,,,,,,
Blood,,,,Neutrophil,,,"CD10, CD114, CD11b, CD11c, CD13, CD14, CD15, CD16, CD31, CD32, CD33, CD62L, CD64, CD66b, CD88, CXCR1, CXCR2, JAML, TLR2",,,,,,
Peripheral blood,,,,Neutrophil,,,"CD11b, CD15, CD16, CD49d, CD66b",,,,,,
Undefined,,,,Neutrophil,,,"CD11b, CD16, CD18, CD32, CD44, CD55",,,,,,
Undefined,,,,Neutrophil,,,"S100A8, S100A9, CD10, CD112, CD114, CD116, CD15, CD157, CD17, CD177, CD181, CD24, CD281, CD282, CD284, CD286, CD289, CD35, CD43, CD66a, CD66b, CD66c, CD66d, CD89, CD93",,,,,,
BladderEpithelial_nc202010,,,,BladderEpithelial_nc202010,,,EPCAM,,,,,,
